Country,"Yearly Water Used (m³, thousand of litres)",Daily Water Used Per Capita (litres),Population
Czech Republic (Czechia),"1,63,50,00,000",425,"1,05,31,948"
Honduras,"1,60,70,00,000",618,"71,19,213"
Zambia,"1,57,20,00,000",404,"1,06,47,949"
Nicaragua,"1,54,50,00,000",727,"58,19,051"
Mozambique,"1,47,30,00,000",152,"2,65,47,572"
Belarus,"1,45,20,00,000",419,"94,99,064"
Haiti,"1,45,00,00,000",410,"96,89,581"
Guyana,"1,44,50,00,000","5,284","7,49,256"
Malawi,"1,35,70,00,000",290,"1,28,40,031"
Jamaica,"1,35,40,00,000","1,320","28,09,915"
Mauritania,"1,35,00,00,000","1,258","29,39,059"
Oman,"1,32,10,00,000","1,531","23,63,796"
Albania,"1,31,10,00,000","1,177","30,50,809"
Panama,"1,21,10,00,000",823,"40,29,086"
Timor-Leste,"1,17,20,00,000","3,456","9,29,074"
Côte d'Ivoire,"1,16,20,00,000",130,"2,45,27,395"
Moldova,"1,06,50,00,000",758,"38,51,396"
Jordan,"1,04,40,00,000",286,"1,00,06,367"
Eswatini,"1,04,20,00,000","2,741","10,41,414"
Ghana,"98,20,00,000",137,"1,96,37,087"
Cameroon,"96,64,00,000",178,"1,49,12,631"
Kuwait,"91,32,00,000","1,215","20,59,974"
Slovenia,"88,73,00,000","1,179","20,61,373"
Chad,"87,96,00,000",233,"1,03,28,092"
Burkina Faso,"81,80,00,000",161,"1,39,32,123"
Ireland,"75,70,00,000",457,"45,33,752"
Mauritius,"72,50,00,000","1,599","12,42,099"
Angola,"70,58,00,000",100,"1,92,91,161"
DR Congo,"68,36,00,000",32,"5,87,75,724"
South Sudan,"65,80,00,000",175,"1,02,88,109"
Denmark,"65,20,00,000",319,"55,91,917"
Uganda,"63,70,00,000",57,"3,05,39,553"
Croatia,"63,38,00,000",409,"42,42,398"
Suriname,"61,59,00,000","3,214","5,24,997"
Eritrea,"58,20,00,000",614,"25,98,284"
Guinea,"55,33,00,000",178,"85,39,960"
North Macedonia,"55,12,00,000",725,"20,81,972"
Slovakia,"53,50,00,000",270,"54,27,259"
Mongolia,"46,24,00,000",417,"30,40,812"
Qatar,"44,40,00,000","1,474","8,25,408"
Bahrain,"43,44,00,000",832,"14,29,604"
Papua New Guinea,"39,21,00,000",164,"65,35,905"
Trinidad and Tobago,"38,32,00,000",753,"13,94,983"
State of Palestine,"36,36,00,000",215,"46,32,739"
Bhutan,"33,80,00,000","1,349","6,86,351"
Bosnia and Herzegovina,"32,79,00,000",249,"36,10,859"
Cyprus,"31,70,00,000",702,"12,37,112"
Burundi,"28,80,00,000",122,"64,70,194"
Namibia,"28,80,00,000",417,"18,89,970"
Iceland,"27,83,00,000","2,304","3,30,952"
Latvia,"22,44,00,000",314,"19,59,863"
Sierra Leone,"21,22,00,000",106,"55,01,712"
Botswana,"20,13,00,000",247,"22,34,776"
Singapore,"19,00,00,000",229,"22,68,523"
Guinea-Bissau,"17,50,00,000",388,"12,34,741"
Togo,"16,90,00,000",86,"54,13,274"
Montenegro,"16,09,00,000",697,"6,32,088"
Rwanda,"15,00,00,000",50,"82,13,931"
Gabon,"13,91,00,000",260,"14,63,495"
Liberia,"13,08,00,000",122,"29,28,117"
Benin,"13,00,00,000",48,"74,45,596"
Belize,"10,10,00,000","1,149","2,40,799"
Brunei,"9,20,00,000",887,"2,84,091"
Gambia,"9,05,00,000",170,"14,55,084"
Fiji,"8,49,00,000",264,"8,82,379"
Barbados,"8,10,00,000",826,"2,68,706"
Central African Republic,"7,25,00,000",46,"42,88,810"
Malta,"6,28,00,000",378,"4,55,269"
Congo,"4,60,00,000",38,"33,50,771"
Luxembourg,"4,40,00,000",207,"5,83,506"
Lesotho,"4,38,00,000",60,"20,03,913"
Saint Lucia,"4,29,00,000",701,"1,67,758"
Sao Tome & Principe,"4,09,00,000",550,"2,03,689"
Cabo Verde,"2,20,00,000",131,"4,60,293"
Dominica,"2,00,00,000",796,"68,859"
Djibouti,"1,90,00,000",70,"7,47,318"
Equatorial Guinea,"1,74,00,000",68,"7,03,279"
Saint Kitts & Nevis,"1,56,00,000",909,"47,033"
Grenada,"1,41,00,000",338,"1,14,132"
Seychelles,"1,37,00,000",420,"89,266"
Antigua and Barbuda,"1,15,00,000",361,"87,260"
Comoros,"1,00,00,000",52,"5,25,886"
St. Vincent & Grenadines,"85,00,000",215,"1,08,135"
Maldives,"59,00,000",48,"3,36,170"
Monaco,"50,00,000",423,"32,364"
